name,date
H5N1|A/chicken/Minnesota/25-000082-002/2024|EPI4006338|2024-12-31,2024.12.31
H5N1|A/white-winged_scoter/Massachusetts/007609-003/2024|EPI3980135|2024-02-23,2024.2.23
H5N1|A/domestic_duck/Czech_Republic/18651-5/2024|EPI3761513|2024-11-27,2024.11.27
H5N1|A/turkey/USA/24-031284-006/2024|EPI3648533|2024-10-17,2024.10.17
H5N1|A/sanderling/Massachusetts/014126-052/2024|EPI3980661|2024-04-05,2024.4.5
H5N5|A/Chicken/Norway/2024-07-3002-5/2024|EPI3659228|2024-11-12,2024.11.12
H5N1|A/domestic_goose/Czech_Republic/168-4/2025|EPI3873658|2025-01-06,2025.1.6
H5N1|A/cygnus_olor/Slovenia/PER1707-24T2AZ_24VIR9358-17/2024|EPI3637564|2024-10-17,2024.10.17
H5N1|A/chicken/Czech_Republic/19491-2/2024|EPI3786042|2024-12-13,2024.12.13
H5N1|A/domestic_duck/Germany-MV/2024AI05017/2024|EPI4028263|2024-11-25,2024.11.25
H5N1|A/chicken/North_Dakota/24-034804-001/2024|EPI3821356|2024-11-21,2024.11.21
H5N1|A/broiler/Italy/24VIR11539-2/2024|EPI3774142|2024-12-24,2024.12.24
H5N1|A/chicken/Czech_Republic/3549-15/2024|EPI3139865|2024-02-26,2024.2.26
H5N1|A/goose/Washington/24-033829-001/2024|EPI3821408|2024-11-12,2024.11.12
H5N1|A/grey_goose/Austria/24144112/2024|EPI3640731|2024-11-03,2024.11.3
H5N1|A/chicken/USA/24-037217-006/2024|EPI3746265|2024-12-10,2024.12.10
H5N1|A/chicken/West_Virginia/25-000049-007/2024|EPI4006322|2024-12-31,2024.12.31
H5N1|A/chicken/USA/24-037217-007/2024|EPI3746257|2024-12-10,2024.12.10
H5N5|A/Herring_Gull/NL/OTH-0039-32/2024|EPI4019126|2024-04-29,2024.4.29
H5N1|A/chicken/Slovakia/Vh-1995/2024|EPI3766328|2024-10-21,2024.10.21
H5N1|A/domestic_duck/Poland/H57-T1/2024(H5N1)|EPI3183488|2024-02-15,2024.2.15
H5N1|A/chicken/Iowa/24-037488-006/2024|EPI3901585|2024-12-14,2024.12.14
H5N1|A/large-billed_crow/Hokkaido/B109/2024|EPI3539779|2024-02-21,2024.2.21
H5N5|A/Herring_Gull/NS/FAV-0245-3/2024|EPI4019006|2024-04-03,2024.4.3
H5N1|A/chicken/Moldova/5G-brain_24VIR10981-54/2024|EPI3853232|2024-11-07,2024.11.7
H5N1|A/duck/USA/24-033876-004/2024|EPI3673825|2024-11-12,2024.11.12
H5N1|A/turkey/Germany-NI/2024AI05064/2024|EPI4028339|2024-12-04,2024.12.4
H5N1|A/snow_goose/Kentucky/W24-1021B/2024|EPI4100471|2024-12-04,2024.12.4
H5N1|A/chicken/USA/24-031286-009/2024|EPI3648549|2024-10-15,2024.10.15
H5N1|A/turkey/South_Dakota/24-037528-002/2024|EPI3901697|2024-12-15,2024.12.15
H5N1|A/chicken/Iowa/24-037491-001/2024|EPI3901633|2024-12-13,2024.12.13
